Date,Close/Last,Volume,Open,High,Low
05/05/2017,$103.78,319963,$103.66,$104.02,$102.32
05/04/2017,$103.26,509139,$103.68,$104.25,$102.11
05/03/2017,$103.44,364272,$103.18,$104.38,$102.74
05/02/2017,$103.83,583855,$102.26,$104.035,$102.26
05/01/2017,$101.94,452076,$101.29,$102.44,$100.17
04/28/2017,$100.98,490184,$102.01,$102.995,$100.83
04/27/2017,$102.07,647703,$102.69,$103.13,$101.42
04/26/2017,$102.67,712109,$103.75,$104.715,$102.54
04/25/2017,$103.72,813020,$105.69,$105.69,$103.71
04/24/2017,$104.94,1476305,$103.00,$106.99,$102.78
04/21/2017,$100.34,2090096,$100.00,$103.50,$97.881
04/20/2017,$103.33,1214252,$102.50,$103.47,$100.28
04/19/2017,$101.85,782325,$100.46,$102.06,$100.25
04/18/2017,$100.29,611598,$98.79,$100.43,$98.79
04/17/2017,$99.33,371365,$98.82,$99.40,$98.07
04/13/2017,$98.54,475802,$98.46,$100.00,$97.76
04/12/2017,$98.49,560461,$100.26,$100.31,$98.09
04/11/2017,$100.07,488589,$98.81,$100.14,$98.31
04/10/2017,$99.12,622781,$97.97,$101.17,$97.97
04/07/2017,$97.54,556457,$98.07,$98.42,$97.15
04/06/2017,$98.42,444194,$98.05,$99.16,$97.51
04/05/2017,$98.06,856336,$98.59,$101.34,$97.74
04/04/2017,$98.31,892984,$99.25,$99.60,$97.73
04/03/2017,$99.59,822821,$102.81,$103.655,$99.03
03/31/2017,$102.57,664077,$102.82,$103.59,$102.35
03/30/2017,$102.96,350785,$101.32,$102.97,$101.32
03/29/2017,$101.27,467233,$99.94,$101.46,$99.585
03/28/2017,$99.92,624018,$98.75,$100.54,$98.41
03/27/2017,$99.05,382398,$98.11,$99.48,$97.391
03/24/2017,$99.92,450718,$100.31,$101.21,$99.51
03/23/2017,$99.87,785400,$100.56,$101.63,$99.81
03/22/2017,$100.55,773560,$100.92,$101.33,$99.85
03/21/2017,$101.23,769567,$103.35,$103.51,$101.09
03/20/2017,$102.78,480383,$103.62,$103.81,$102.30
03/17/2017,$103.61,621418,$103.00,$103.90,$102.63
03/16/2017,$103.12,418602,$102.62,$103.41,$102.29
03/15/2017,$102.45,493481,$101.78,$102.80,$101.4848
03/14/2017,$101.36,380748,$101.13,$102.12,$100.43
03/13/2017,$101.27,474284,$100.87,$101.87,$100.87
03/10/2017,$100.84,571164,$99.79,$101.54,$99.42
03/09/2017,$99.60,543612,$100.19,$100.81,$99.17
03/08/2017,$100.14,637901,$99.32,$100.305,$99.27
03/07/2017,$98.91,572461,$98.08,$99.23,$97.52
03/06/2017,$98.07,403640,$97.63,$98.56,$97.42
03/03/2017,$98.34,506421,$97.61,$98.45,$97.21
03/02/2017,$97.76,528853,$98.76,$98.89,$97.71
03/01/2017,$99.11,858730,$98.95,$99.92,$98.53
02/28/2017,$97.04,769707,$97.49,$98.28,$97.02
02/27/2017,$97.84,440914,$97.36,$98.16,$97.09
02/24/2017,$97.36,1033823,$96.37,$97.49,$95.88
02/23/2017,$97.41,492263,$98.00,$98.17,$97.26
02/22/2017,$97.58,556816,$97.94,$98.18,$96.00
02/21/2017,$97.89,904592,$97.06,$98.01,$96.81
02/17/2017,$97.35,849412,$95.44,$97.35,$95.31
02/16/2017,$96.09,790022,$97.13,$97.41,$95.40
02/15/2017,$97.15,720243,$95.86,$97.49,$95.86
02/14/2017,$96.45,603503,$95.87,$97.1999,$94.34
02/13/2017,$96.35,706871,$97.12,$97.61,$96.14
02/10/2017,$96.47,1130711,$97.23,$97.39,$96.27
02/09/2017,$96.94,670208,$97.14,$97.83,$96.71
02/08/2017,$96.65,1114481,$97.08,$97.77,$96.22
02/07/2017,$97.36,985320,$98.55,$98.70,$97.27
02/06/2017,$97.89,1097100,$98.43,$98.80,$97.61
02/03/2017,$98.69,1045350,$98.25,$98.99,$97.54
02/02/2017,$97.23,1022061,$96.89,$97.64,$96.12
02/01/2017,$97.34,1135061,$96.64,$98.02,$96.25
01/31/2017,$95.46,1365170,$94.26,$97.34,$91.13
01/30/2017,$94.66,769791,$93.44,$94.835,$91.52
01/27/2017,$93.68,635827,$94.38,$94.72,$93.25
01/26/2017,$95.18,443551,$95.48,$95.75,$94.43
01/25/2017,$95.46,987447,$95.00,$96.61,$94.30
01/24/2017,$94.38,466205,$92.98,$94.67,$92.745
01/23/2017,$92.59,572582,$93.01,$93.47,$91.60
01/20/2017,$92.89,465413,$92.77,$93.71,$92.25
01/19/2017,$92.25,401216,$93.68,$93.805,$91.65
01/18/2017,$93.63,818348,$92.99,$95.00,$92.2101
01/17/2017,$92.99,565564,$92.79,$93.70,$91.761
01/13/2017,$93.28,519069,$91.97,$93.41,$91.92
01/12/2017,$91.76,369299,$91.69,$91.98,$90.57
01/11/2017,$91.75,638680,$90.06,$91.76,$89.90
01/10/2017,$90.27,837378,$89.84,$91.49,$89.775
01/09/2017,$89.81,705151,$90.15,$90.78,$88.99
01/06/2017,$90.03,513175,$90.61,$90.73,$89.446
01/05/2017,$89.91,524371,$91.84,$91.84,$89.74
01/04/2017,$92.00,669372,$91.25,$92.69,$90.76
01/03/2017,$90.99,860186,$89.20,$91.13,$88.79
